"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","The Bad News Bears Go To Japan","Comedy","","$14,000,000",""
"","Beyond and Back","Documentary","","$23,800,000",""
"","The Big Fix","Comedy","","$12,000,000",""
"","The Boys from Brazil","Thriller/Suspense","$12,000,000","$19,000,000",""
"","The Brink's Job","Comedy","","$9,400,000",""
"","Caravans","Adventure","$14,000,000","$1,000,000",""
"","Casey's Shadow","Drama","","$8,000,000",""
"","Coming Home","Drama","$3,000,000","$32,653,000",""
"","Corvette Summer","","","$15,500,000",""
"","Death on the Nile","Drama","","$18,000,000",""
"","The Eyes of Laura Mars","","","$18,900,000",""
"","The Fifth Floor","","","$7,000,000",""
"","Good Guys Wear Black","Action","","$18,300,000",""
"","The Greek Tycoon","Drama","","$14,000,000",""
"","House Calls","","","$29,000,000",""
"","I Wanna Hold Your Hand","Multiple Genres","","$1,900,000",""
"","Ice Castles","Drama","","$18,000,000",""
"","The Other Side of the Mountain Part II","","","$12,000,000",""
"","Same Time, Next Year","","","$23,000,000",""
"","Sgt. Pepper's Lonely Hearts Club Band","","","$12,900,000",""
"","The Swarm","","","$10,000,000",""
"","Thank God It's Friday","","","$7,300,000",""
"","An Unmarried Woman","","","$24,000,000",""
"February 1","Coma","Thriller/Suspense","","$0",""
"February 3","The One and Only","Romantic Comedy","","$2,707,679",""
"February 9","The Betsy","Drama","","$17,700,000",""
"February 17","Rabbit Test","","","$90,138",""
"March 10","The Fury","Thriller/Suspense","","$0",""
"March 17","American Hot Wax","Drama","","$11,000,000",""
"April 13","F.I.S.T","Drama","$11,000,000","$20,388,920",""
"May 5","The End","","","$30,354,004",""
"May 18","The Buddy Holly Story","Drama","","$14,363,400",""
"June 9","The Cheap Detective","Comedy","","$28,221,552",""
"","Damien: Omen II","Horror","","$24,000,000",""
"June 16","Grease","Musical","$6,000,000","$181,813,770","Play"
"","Jaws 2","Horror","$20,000,000","$102,922,376",""
"June 28","Convoy","Action","","$45,000,000",""
"","Heaven Can Wait","Comedy","","$98,800,000",""
"July 14","Foul Play","Comedy","","$40,415,179",""
"July 21","Revenge of the Pink Panther","Comedy","","$37,337,746",""
"July 28","Hooper","Action","","$51,290,536",""
"","National Lampoon's Animal House","Comedy","$3,000,000","$141,600,000",""
"August 2","Interiors","Drama","","$10,432,366",""
"September 13","Days of Heaven","Drama","$3,000,000","$3,446,749",""
"September 15","Up in Smoke","","","$41,590,893",""
"September 20","Midnight Express","","","$35,000,000",""
"October 17","Halloween","Horror","$325,000","$47,000,000",""
"October 24","The Wiz","Musical","$24,000,000","$13,000,000",""
"October 25","Comes a Horseman","","","$0",""
"November 8","Magic","","","$23,800,000",""
"","Slow Dancing in the Big City","Musical","","$11,335",""
"November 10","Paradise Alley","","","$8,000,000",""
"November 15","The Lord of the Rings","","","$27,000,000",""
"December 13","The Secret Life of Plants","Documentary","","$0",""
"December 15","California Suite","Comedy","","$42,913,571",""
"","Oliver's Story","","","$0",""
"","Superman","Adventure","$55,000,000","$134,218,018",""
"","Uncle Joe Shannon","Drama","","$3,697",""
"December 20","Every Which Way but Loose","Comedy","","$104,268,727",""
"","King of the Gypsies","","","$8,000,000",""
"December 22","Brass Target","Drama","","$354,797",""
"","Force 10 from Navarone","Action","$5,000,000","$7,100,000",""
"","Invasion of the Body Snatchers","Horror","","$24,946,533",""
"","Moment by Moment","","","$0",""
"December 31","Goin South","Comedy","","$0",""
"","The Norseman","Adventure","","$0",""
"","Pretty Baby","Drama","","$0",""
