"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 1","Destination Moon","","","$5,000,000",NA,"1950"
"","Duchess of Idaho","","","$2,600,000",NA,"1950"
"","Father of the Bride","","","$10,135,000",NA,"1950"
"","Three Little Words","","","$2,800,000",NA,"1950"
"February 2","The Third Man","Thriller/Suspense","","$1,034,144",NA,"1950"
"February 15","Cinderella","Drama","$2,900,000","$85,000,000",NA,"1950"
"May 17","Annie Get Your Gun","Musical","$3,768,785","$8,000,000",NA,"1950"
"July 12","Winchester '73","","","$4,500,000",NA,"1950"
"July 19","Fancy Pants","","","$2,600,000",NA,"1950"
"October 13","All About Eve","Drama","","$8,400,000",NA,"1950"
"November 24","King Solomon's Mines","","","$11,172,000",NA,"1950"
"December 31","The Big Hangover","","","$0",NA,"1950"
"","The Cariboo Trail","Adventure","","$0",NA,"1950"
