"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 1","The Fall of the Roman Empire","","$19,000,000","$4,750,000",NA,"1964"
"","Man's Favorite Sport?","","","$6,000,000",NA,"1964"
"","Marnie","Thriller/Suspense","","$7,000,000",NA,"1964"
"","Topkapi","","","$7,000,000",NA,"1964"
"","Zorba the Greek","","","$9,000,000",NA,"1964"
"January 29","Dr. Strangelove","","$1,800,000","$9,164,370",NA,"1964"
"March 6","Kissin' Cousins","","","$2,800,000",NA,"1964"
"March 11","Becket","Drama","","$9,164,370",NA,"1964"
"March 20","The Pink Panther","Comedy","","$10,878,107",NA,"1964"
"April 8","From Russia With Love","Action","$2,000,000","$24,800,000",NA,"1964"
"April 9","The Carpetbaggers","Drama","","$28,409,547",NA,"1964"
"May 12","What a Way to Go!","","","$11,180,531",NA,"1964"
"May 20","Viva Las Vegas","","","$9,442,967",NA,"1964"
"June 3","Hey There, It's Yogi Bear","Comedy","","$1,940,903",NA,"1964"
"June 23","A Shot in the Dark","Comedy","","$12,368,234",NA,"1964"
"June 30","Mafioso","Comedy","","$398,614",NA,"1964"
"July 11","The Unsinkable Molly Brown","","","$11,070,559",NA,"1964"
"July 22","Good Neighbor Sam","","","$9,072,726",NA,"1964"
"August 11","A Hard Day's Night","Comedy","$560,000","$1,537,860",NA,"1964"
"August 26","Mary Poppins","Musical","$6,000,000","$102,300,000",NA,"1964"
"October 14","Send Me No Flowers","","","$9,129,247",NA,"1964"
"October 22","My Fair Lady","Musical","$17,000,000","$72,000,000",NA,"1964"
"November 11","Roustabout","","","$3,000,000",NA,"1964"
"December 10","Father Goose","","","$12,500,000",NA,"1964"
"December 18","Le Mépris","Drama","","$528,428",NA,"1964"
"December 22","Goldfinger","Action","$3,000,000","$51,100,000",NA,"1964"
"December 31","Mothra vs. Godzilla","","","$0",NA,"1964"
"","Ghidorah, the Three-Headed Monster","","","$0",NA,"1964"
